escritura,nir,pago,liquidacion,valor_ben,valor_reg,total_recibos,total_actas,faltante,sobrante,observaciones
14,26102023447485,Si,106248377.0,264400,54400,318800,316300,2500,,0
18,26102023448063,Si,106246100.0,4031400,4938300,8969700,8968200,1500,,0
8,26102023461988,Si,106365606.0,269400,581800,851200,848200,3000,,0
16,26102023462072,Si,106258782.0,264400,51900,316300,316300,,,0
17,26102023462089,Si,106257703.0,264400,51900,316300,316300,,,0
20,26102023462107,Si,106351923.0,730400,114600,845000,845000,,,0
33,26102023466001,Si,106260007.0,264400,54400,318800,316300,2500,,0
53,26102023475121,Si,106264734.0,6264400,7858500,14122900,14122900,,,0
54,26102023475159,Si,106264912.0,4031400,4961500,8992900,8992900,,,0
55,26102023475184,Si,106264491.0,12497400,15693700,28191100,28191100,,,0
31,26102023475717,Si,106264441.0,3181400,5693300,8874700,8874700,,,0
34,26102023478648,Si,106368651.0,1252400,1139400,2391800,2370892,20908,,0
35,26102023478663,Si,106378317.0,3897400,4641200,8538600,8455600,83000,,0
45,26102023486226,Si,106368560.0,976400,144700,1121100,1101400,19700,,0
62,26102023486268,Si,106270964.0,6780400,8914300,15694700,15694700,,,0
43,26102023486887,Si,106360031.0,267400,54400,321800,318800,3000,,0
49,26102023487148,Si,106365614.0,267400,78500,345900,342900,3000,,0
56,26102023500286,Si,106368526.0,1731400,1607500,3338900,3320854,18046,,0
64,26102023500772,Si,106280578.0,2731400,4391700,7123100,7838640,,715540,0
69,26102023500848,Si,106358375.0,3233400,3537400,6770800,6751800,19000,,0
91,26102023500878,Si,106280669.0,4551400,5882000,10433400,10433400,,,0
96,26102023500889,Si,106365630.0,265400,54400,319800,366700,,46900,0
98,26102023501337,Si,106381946.0,2194400,2484800,4679200,4649238,29962,,0
70,26102023508294,Si,106290508.0,2564400,2707700,5272100,5272100,,,0
108,26102023510155,Si,106288894.0,264400,54400,318800,318800,,,0
122,26102023513756,Si,106289323.0,264400,54400,318800,318800,,,0
36,26102023517574,Si,106359941.0,1696400,1339200,3035600,3069500,,33900,0
111,26102023526047,Si,106299752.0,2131400,3352400,5483800,5483785,15,,0
52,26102023526065,Si,106300363.0,2031400,3430800,5462200,5462200,,,0
92,26102023526308,Si,106301432.0,4713400,8688800,13402200,13402200,,,0
157,26102023531706,Si,106365861.0,264400,54400,318800,316300,2500,,0
166,26102023534726,Si,106381963.0,501400,2373600,2875000,2871000,4000,,0
194,26102023534810,Si,106308080.0,497400,84500,581900,581900,,,0
76,26102023542387,Si,106378232.0,2774400,4081700,6856100,6816100,40000,,0
90,26102023542437,Si,106378222.0,2082400,2619600,4702000,4674000,28000,,0
134,26102023542463,Si,106357841.0,3716400,6834300,10550700,10545853,4847,,0
79,26102023546747,Si,106382746.0,2939400,4129300,7068700,7023700,45000,,0
141,26102023546770,Si,106381924.0,2946400,3930000,6876400,6871671,4729,,0
119,26102023546940,Si,106321035.0,7031400,11988800,19020200,19020200,,,0
135,26102023553334,Si,106378246.0,2994400,4435000,7429400,7452851,,23451,0
229,26102023553517,Si,106322776.0,264400,54400,318800,315900,2900,,0
237,26102023553533,Si,106394002.0,1548400,1427400,2968800,2968810,,10,0
222,26102023553556,Si,106318665.0,1871400,1734300,3605700,3605956,,256,0
197,26102023558132,Si,106327195.0,264400,54400,318800,318800,,,0
238,26102023558165,Si,106394067.0,1194400,912900,2101300,2101192,108,,0
